STT,self_study_time,amount_of_subject,working_time,sleeping_time,extracurricular_time,social_media_time,learning_method,attendance_proportion,gpa
162,11 – 15 giờ,5 – 6 môn,Không,Trên 8 giờ,Có,3 – 4 giờ,Tự học cá nhân,70% – 85%,Trên 3.5
163,5 – 10 giờ,Trên 8 môn,Không,7 – 8 giờ,Không,1 – 2 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
164,5 – 10 giờ,Trên 8 môn,Không,6 – 7 giờ,Có,3 – 4 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
165,16 – 20 giờ,Trên 8 môn,Không,6 – 7 giờ,Có,3 – 4 giờ,Tự học cá nhân,70% – 85%,Trên 3.5
166,Trên 20 giờ,5 – 6 môn,Không,7 – 8 giờ,Không,1 – 2 giờ,Kết hợp cả hai,70% – 85%,3.0 – 3.5
167,11 – 15 giờ,7 – 8 môn,"Có, trên 20 giờ/tuần",6 – 7 giờ,Không,3 – 4 giờ,Tự học cá nhân,70% – 85%,Trên 3.5
168,5 – 10 giờ,5 – 6 môn,"Có, dưới 10 giờ/tuần",6 – 7 giờ,Có,1 – 2 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
169,5 – 10 giờ,7 – 8 môn,Không,6 – 7 giờ,Không,3 – 4 giờ,Kết hợp cả hai,50% – 70%,Trên 3.5
170,Dưới 5 giờ,Trên 8 môn,"Có, dưới 10 giờ/tuần",7 – 8 giờ,Không,Trên 6 giờ,Tự học cá nhân,Trên 95%,3.0 – 3.5
171,11 – 15 giờ,Trên 8 môn,Không,7 – 8 giờ,Không,3 – 4 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
172,11 – 15 giờ,Trên 8 môn,Không,Dưới 5 giờ,Không,3 – 4 giờ,Tự học cá nhân,Trên 95%,3.0 – 3.5
173,Dưới 5 giờ,Trên 8 môn,Không,Trên 8 giờ,Không,5 – 6 giờ,Tự học cá nhân,Trên 95%,3.0 – 3.5
174,11 – 15 giờ,3 – 4 môn,Không,6 – 7 giờ,Có,1 – 2 giờ,Tự học cá nhân,Trên 95%,3.0 – 3.5
175,Dưới 5 giờ,Trên 8 môn,"Có, dưới 10 giờ/tuần",5 – 6 giờ,Không,5 – 6 giờ,Kết hợp cả hai,85% – 95%,2.5 – 3.0
176,11 – 15 giờ,3 – 4 môn,Không,6 – 7 giờ,Có,1 – 2 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
177,16 – 20 giờ,Trên 8 môn,Không,5 – 6 giờ,Không,3 – 4 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
178,Dưới 5 giờ,5 – 6 môn,Không,6 – 7 giờ,Không,5 – 6 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
179,5 – 10 giờ,3 – 4 môn,"Có, trên 20 giờ/tuần",5 – 6 giờ,Không,3 – 4 giờ,Tự học cá nhân,70% – 85%,2.5 – 3.0
180,5 – 10 giờ,Trên 8 môn,"Có, dưới 10 giờ/tuần",6 – 7 giờ,Không,3 – 4 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
181,5 – 10 giờ,3 – 4 môn,"Có, dưới 10 giờ/tuần",6 – 7 giờ,Có,3 – 4 giờ,Kết hợp cả hai,50% – 70%,Dưới 2.0
182,Dưới 5 giờ,5 – 6 môn,Không,7 – 8 giờ,Không,5 – 6 giờ,Tự học cá nhân,85% – 95%,Trên 3.5
183,Dưới 5 giờ,3 – 4 môn,Không,6 – 7 giờ,Không,3 – 4 giờ,Tự học cá nhân,50% – 70%,3.0 – 3.5
184,5 – 10 giờ,7 – 8 môn,Không,6 – 7 giờ,Có,1 – 2 giờ,Kết hợp cả hai,70% – 85%,2.5 – 3.0
185,Trên 20 giờ,3 – 4 môn,"Có, 10 – 20 giờ/tuần",7 – 8 giờ,Không,3 – 4 giờ,Tự học cá nhân,50% – 70%,Trên 3.5
186,11 – 15 giờ,5 – 6 môn,Không,5 – 6 giờ,Không,5 – 6 giờ,Tự học cá nhân,70% – 85%,3.0 – 3.5
187,Trên 20 giờ,7 – 8 môn,"Có, trên 20 giờ/tuần",6 – 7 giờ,Có,3 – 4 giờ,Kết hợp cả hai,85% – 95%,2.5 – 3.0
188,Trên 20 giờ,Trên 8 môn,"Có, trên 20 giờ/tuần",Dưới 5 giờ,Có,Dưới 1 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
189,5 – 10 giờ,7 – 8 môn,"Có, dưới 10 giờ/tuần",Dưới 5 giờ,Không,3 – 4 giờ,Kết hợp cả hai,Trên 95%,Trên 3.5
190,5 – 10 giờ,5 – 6 môn,Không,6 – 7 giờ,Không,1 – 2 giờ,Kết hợp cả hai,70% – 85%,3.0 – 3.5
191,11 – 15 giờ,5 – 6 môn,"Có, dưới 10 giờ/tuần",6 – 7 giờ,Có,3 – 4 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
192,5 – 10 giờ,5 – 6 môn,Không,6 – 7 giờ,Không,Trên 6 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
193,Dưới 5 giờ,5 – 6 môn,"Có, trên 20 giờ/tuần",5 – 6 giờ,Có,3 – 4 giờ,Kết hợp cả hai,50% – 70%,2.0 – 2.5
194,Trên 20 giờ,5 – 6 môn,"Có, 10 – 20 giờ/tuần",6 – 7 giờ,Không,3 – 4 giờ,Kết hợp cả hai,70% – 85%,Trên 3.5
195,Dưới 5 giờ,5 – 6 môn,Không,5 – 6 giờ,Không,3 – 4 giờ,Kết hợp cả hai,50% – 70%,3.0 – 3.5
196,11 – 15 giờ,3 – 4 môn,Không,6 – 7 giờ,Không,1 – 2 giờ,Kết hợp cả hai,70% – 85%,3.0 – 3.5
197,Dưới 5 giờ,5 – 6 môn,Không,6 – 7 giờ,Không,5 – 6 giờ,Kết hợp cả hai,70% – 85%,Trên 3.5
198,5 – 10 giờ,Trên 8 môn,Không,7 – 8 giờ,Không,3 – 4 giờ,Kết hợp cả hai,50% – 70%,3.0 – 3.5
199,11 – 15 giờ,7 – 8 môn,Không,Trên 8 giờ,Không,Trên 6 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
200,Trên 20 giờ,7 – 8 môn,Không,7 – 8 giờ,Không,Trên 6 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
201,11 – 15 giờ,5 – 6 môn,Không,6 – 7 giờ,Không,3 – 4 giờ,Tự học cá nhân,70% – 85%,3.0 – 3.5
202,5 – 10 giờ,Trên 8 môn,Không,7 – 8 giờ,Không,1 – 2 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
203,5 – 10 giờ,5 – 6 môn,"Có, dưới 10 giờ/tuần",6 – 7 giờ,Không,3 – 4 giờ,Tự học cá nhân,50% – 70%,2.0 – 2.5
204,Trên 20 giờ,5 – 6 môn,Không,7 – 8 giờ,Không,1 – 2 giờ,Kết hợp cả hai,70% – 85%,3.0 – 3.5
205,Dưới 5 giờ,5 – 6 môn,Không,5 – 6 giờ,Không,3 – 4 giờ,Kết hợp cả hai,50% – 70%,3.0 – 3.5
206,11 – 15 giờ,3 – 4 môn,Không,6 – 7 giờ,Không,1 – 2 giờ,Kết hợp cả hai,70% – 85%,3.0 – 3.5
207,5 – 10 giờ,7 – 8 môn,Không,6 – 7 giờ,Có,1 – 2 giờ,Kết hợp cả hai,70% – 85%,2.5 – 3.0
208,Trên 20 giờ,7 – 8 môn,Không,7 – 8 giờ,Không,Trên 6 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
209,11 – 15 giờ,5 – 6 môn,"Có, dưới 10 giờ/tuần",6 – 7 giờ,Có,3 – 4 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
210,Dưới 5 giờ,5 – 6 môn,Không,6 – 7 giờ,Không,5 – 6 giờ,Kết hợp cả hai,70% – 85%,Trên 3.5
211,16 – 20 giờ,Trên 8 môn,Không,5 – 6 giờ,Không,3 – 4 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
212,5 – 10 giờ,5 – 6 môn,Không,6 – 7 giờ,Không,1 – 2 giờ,Kết hợp cả hai,70% – 85%,3.0 – 3.5
213,11 – 15 giờ,7 – 8 môn,Không,5 – 6 giờ,Không,3 – 4 giờ,Kết hợp cả hai,50% – 70%,2.5 – 3.0
214,Dưới 5 giờ,Trên 8 môn,Không,6 – 7 giờ,Không,Trên 6 giờ,Tự học cá nhân,50% – 70%,2.5 – 3.0
215,5 – 10 giờ,5 – 6 môn,"Có, 10 – 20 giờ/tuần",Trên 8 giờ,Có,3 – 4 giờ,Tự học cá nhân,50% – 70%,Trên 3.5
216,11 – 15 giờ,5 – 6 môn,Không,Trên 8 giờ,Có,3 – 4 giờ,Tự học cá nhân,70% – 85%,Trên 3.5
217,Dưới 5 giờ,3 – 4 môn,Không,6 – 7 giờ,Không,3 – 4 giờ,Tự học cá nhân,50% – 70%,3.0 – 3.5
218,Trên 20 giờ,Trên 8 môn,Không,6 – 7 giờ,Không,5 – 6 giờ,Tự học cá nhân,50% – 70%,2.5 – 3.0
219,5 – 10 giờ,Trên 8 môn,Không,6 – 7 giờ,Có,3 – 4 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
220,11 – 15 giờ,7 – 8 môn,"Có, trên 20 giờ/tuần",5 – 6 giờ,Có,3 – 4 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
221,5 – 10 giờ,3 – 4 môn,"Có, dưới 10 giờ/tuần",6 – 7 giờ,Có,3 – 4 giờ,Kết hợp cả hai,50% – 70%,Dưới 2.0
222,11 – 15 giờ,3 – 4 môn,Không,7 – 8 giờ,Không,3 – 4 giờ,Tự học cá nhân,85% – 95%,3.0 – 3.5
223,Dưới 5 giờ,5 – 6 môn,"Có, dưới 10 giờ/tuần",5 – 6 giờ,Không,3 – 4 giờ,Tự học cá nhân,50% – 70%,3.0 – 3.5
224,16 – 20 giờ,5 – 6 môn,"Có, dưới 10 giờ/tuần",6 – 7 giờ,Có,Dưới 1 giờ,Tự học cá nhân,85% – 95%,3.0 – 3.5
225,Trên 20 giờ,3 – 4 môn,"Có, 10 – 20 giờ/tuần",7 – 8 giờ,Không,3 – 4 giờ,Tự học cá nhân,50% – 70%,Trên 3.5
226,5 – 10 giờ,7 – 8 môn,Không,7 – 8 giờ,Không,Trên 6 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
227,11 – 15 giờ,Trên 8 môn,Không,7 – 8 giờ,Không,3 – 4 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
228,Dưới 5 giờ,Trên 8 môn,"Có, dưới 10 giờ/tuần",5 – 6 giờ,Không,5 – 6 giờ,Kết hợp cả hai,85% – 95%,2.5 – 3.0
229,5 – 10 giờ,5 – 6 môn,Không,Dưới 5 giờ,Không,3 – 4 giờ,Tự học cá nhân,Trên 95%,3.0 – 3.5
230,11 – 15 giờ,3 – 4 môn,Không,6 – 7 giờ,Có,1 – 2 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
231,Trên 20 giờ,5 – 6 môn,"Có, 10 – 20 giờ/tuần",6 – 7 giờ,Không,3 – 4 giờ,Kết hợp cả hai,70% – 85%,Trên 3.5
232,Dưới 5 giờ,5 – 6 môn,Không,Trên 8 giờ,Không,3 – 4 giờ,Kết hợp cả hai,50% – 70%,2.5 – 3.0
233,5 – 10 giờ,Trên 8 môn,"Có, dưới 10 giờ/tuần",6 – 7 giờ,Không,3 – 4 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
234,11 – 15 giờ,5 – 6 môn,Không,5 – 6 giờ,Không,5 – 6 giờ,Tự học cá nhân,70% – 85%,3.0 – 3.5
235,Dưới 5 giờ,5 – 6 môn,Không,7 – 8 giờ,Không,5 – 6 giờ,Tự học cá nhân,85% – 95%,Trên 3.5
236,5 – 10 giờ,7 – 8 môn,Không,5 – 6 giờ,Có,5 – 6 giờ,Kết hợp cả hai,85% – 95%,Trên 3.5
237,16 – 20 giờ,5 – 6 môn,Không,Dưới 5 giờ,Có,3 – 4 giờ,Kết hợp cả hai,85% – 95%,2.5 – 3.0
238,11 – 15 giờ,7 – 8 môn,Không,5 – 6 giờ,Có,1 – 2 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
239,5 – 10 giờ,Trên 8 môn,Không,5 – 6 giờ,Không,1 – 2 giờ,Kết hợp cả hai,Trên 95%,Trên 3.5
240,Trên 20 giờ,Trên 8 môn,"Có, trên 20 giờ/tuần",Dưới 5 giờ,Có,Dưới 1 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
241,Dưới 5 giờ,3 – 4 môn,"Có, dưới 10 giờ/tuần",Dưới 5 giờ,Không,1 – 2 giờ,Học nhóm,Dưới 50%,2.0 – 2.5
242,5 – 10 giờ,Trên 8 môn,Không,7 – 8 giờ,Không,3 – 4 giờ,Kết hợp cả hai,50% – 70%,3.0 – 3.5
243,11 – 15 giờ,7 – 8 môn,Không,6 – 7 giờ,Không,3 – 4 giờ,Kết hợp cả hai,70% – 85%,2.5 – 3.0
244,16 – 20 giờ,Trên 8 môn,"Có, dưới 10 giờ/tuần",7 – 8 giờ,Không,3 – 4 giờ,Tự học cá nhân,Trên 95%,3.0 – 3.5
245,Dưới 5 giờ,5 – 6 môn,Không,6 – 7 giờ,Không,3 – 4 giờ,Tự học cá nhân,85% – 95%,3.0 – 3.5
246,5 – 10 giờ,5 – 6 môn,Không,6 – 7 giờ,Không,Trên 6 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
247,11 – 15 giờ,Trên 8 môn,Không,Dưới 5 giờ,Không,3 – 4 giờ,Tự học cá nhân,Trên 95%,3.0 – 3.5
248,5 – 10 giờ,7 – 8 môn,"Có, dưới 10 giờ/tuần",Dưới 5 giờ,Không,3 – 4 giờ,Kết hợp cả hai,Trên 95%,Trên 3.5
249,11 – 15 giờ,5 – 6 môn,Không,6 – 7 giờ,Không,3 – 4 giờ,Tự học cá nhân,70% – 85%,3.0 – 3.5
250,Trên 20 giờ,7 – 8 môn,"Có, trên 20 giờ/tuần",6 – 7 giờ,Có,3 – 4 giờ,Kết hợp cả hai,85% – 95%,2.5 – 3.0
251,Dưới 5 giờ,Trên 8 môn,Không,Trên 8 giờ,Không,5 – 6 giờ,Tự học cá nhân,Trên 95%,3.0 – 3.5
252,5 – 10 giờ,Trên 8 môn,"Có, 10 – 20 giờ/tuần",7 – 8 giờ,Không,5 – 6 giờ,Tự học cá nhân,Trên 95%,3.0 – 3.5
253,11 – 15 giờ,3 – 4 môn,Không,6 – 7 giờ,Có,1 – 2 giờ,Tự học cá nhân,Trên 95%,3.0 – 3.5
254,Dưới 5 giờ,5 – 6 môn,"Có, trên 20 giờ/tuần",5 – 6 giờ,Có,3 – 4 giờ,Kết hợp cả hai,50% – 70%,2.0 – 2.5
255,5 – 10 giờ,5 – 6 môn,"Có, dưới 10 giờ/tuần",6 – 7 giờ,Có,1 – 2 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
256,Trên 20 giờ,5 – 6 môn,Không,7 – 8 giờ,Không,1 – 2 giờ,Kết hợp cả hai,70% – 85%,3.0 – 3.5
257,11 – 15 giờ,7 – 8 môn,Không,Trên 8 giờ,Không,Trên 6 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
258,5 – 10 giờ,7 – 8 môn,Không,6 – 7 giờ,Không,3 – 4 giờ,Kết hợp cả hai,50% – 70%,Trên 3.5
259,Dưới 5 giờ,3 – 4 môn,Không,5 – 6 giờ,,Trên 6 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
260,16 – 20 giờ,Trên 8 môn,Không,6 – 7 giờ,Có,3 – 4 giờ,Tự học cá nhân,70% – 85%,Trên 3.5
261,5 – 10 giờ,5 – 6 môn,Không,6 – 7 giờ,Không,1 – 2 giờ,Kết hợp cả hai,70% – 85%,3.0 – 3.5
262,11 – 15 giờ,Trên 8 môn,Không,7 – 8 giờ,Không,3 – 4 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
263,Trên 20 giờ,7 – 8 môn,Không,7 – 8 giờ,Không,Trên 6 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
264,5 – 10 giờ,5 – 6 môn,"Có, 10 – 20 giờ/tuần",Trên 8 giờ,Có,3 – 4 giờ,Tự học cá nhân,50% – 70%,Trên 3.5
265,Dưới 5 giờ,5 – 6 môn,Không,5 – 6 giờ,Không,3 – 4 giờ,Kết hợp cả hai,50% – 70%,3.0 – 3.5
266,11 – 15 giờ,5 – 6 môn,"Có, dưới 10 giờ/tuần",6 – 7 giờ,Có,3 – 4 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
267,5 – 10 giờ,Trên 8 môn,Không,6 – 7 giờ,Không,5 – 6 giờ,Kết hợp cả hai,Trên 95%,Trên 3.5
268,Dưới 5 giờ,Trên 8 môn,"Có, dưới 10 giờ/tuần",7 – 8 giờ,Không,Trên 6 giờ,Tự học cá nhân,Trên 95%,3.0 – 3.5
269,11 – 15 giờ,5 – 6 môn,Không,5 – 6 giờ,Không,5 – 6 giờ,Tự học cá nhân,70% – 85%,3.0 – 3.5
270,16 – 20 giờ,5 – 6 môn,Không,Dưới 5 giờ,Có,3 – 4 giờ,Kết hợp cả hai,85% – 95%,2.5 – 3.0
271,5 – 10 giờ,3 – 4 môn,"Có, trên 20 giờ/tuần",5 – 6 giờ,Không,3 – 4 giờ,Tự học cá nhân,70% – 85%,2.5 – 3.0
272,Trên 20 giờ,Trên 8 môn,Không,6 – 7 giờ,Không,5 – 6 giờ,Tự học cá nhân,50% – 70%,2.5 – 3.0
273,11 – 15 giờ,3 – 4 môn,Không,7 – 8 giờ,Không,3 – 4 giờ,Tự học cá nhân,85% – 95%,3.0 – 3.5
274,5 – 10 giờ,7 – 8 môn,Không,6 – 7 giờ,Có,1 – 2 giờ,Kết hợp cả hai,70% – 85%,2.5 – 3.0
275,Dưới 5 giờ,5 – 6 môn,Không,6 – 7 giờ,Không,5 – 6 giờ,Kết hợp cả hai,70% – 85%,Trên 3.5
276,11 – 15 giờ,7 – 8 môn,Không,5 – 6 giờ,Có,1 – 2 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
277,5 – 10 giờ,5 – 6 môn,"Có, dưới 10 giờ/tuần",6 – 7 giờ,Không,3 – 4 giờ,Tự học cá nhân,50% – 70%,2.0 – 2.5
278,Trên 20 giờ,5 – 6 môn,"Có, 10 – 20 giờ/tuần",6 – 7 giờ,Không,3 – 4 giờ,Kết hợp cả hai,70% – 85%,Trên 3.5
279,5 – 10 giờ,Trên 8 môn,Không,5 – 6 giờ,Không,1 – 2 giờ,Kết hợp cả hai,Trên 95%,Trên 3.5
280,11 – 15 giờ,Trên 8 môn,Không,Dưới 5 giờ,Không,3 – 4 giờ,Tự học cá nhân,Trên 95%,3.0 – 3.5
281,Dưới 5 giờ,5 – 6 môn,Không,Trên 8 giờ,Không,3 – 4 giờ,Kết hợp cả hai,50% – 70%,2.5 – 3.0
282,16 – 20 giờ,5 – 6 môn,"Có, dưới 10 giờ/tuần",6 – 7 giờ,Có,Dưới 1 giờ,Tự học cá nhân,85% – 95%,3.0 – 3.5
283,5 – 10 giờ,7 – 8 môn,Không,7 – 8 giờ,Không,Trên 6 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
284,11 – 15 giờ,5 – 6 môn,Không,6 – 7 giờ,Không,3 – 4 giờ,Tự học cá nhân,70% – 85%,3.0 – 3.5
285,Dưới 5 giờ,Trên 8 môn,Không,6 – 7 giờ,Không,Trên 6 giờ,Tự học cá nhân,50% – 70%,2.5 – 3.0
286,5 – 10 giờ,Trên 8 môn,Không,7 – 8 giờ,Không,1 – 2 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
287,11 – 15 giờ,5 – 6 môn,Không,Trên 8 giờ,Có,3 – 4 giờ,Tự học cá nhân,70% – 85%,Trên 3.5
288,Trên 20 giờ,7 – 8 môn,"Có, trên 20 giờ/tuần",6 – 7 giờ,Có,3 – 4 giờ,Kết hợp cả hai,85% – 95%,2.5 – 3.0
289,5 – 10 giờ,5 – 6 môn,Không,6 – 7 giờ,Không,1 – 2 giờ,Kết hợp cả hai,70% – 85%,3.0 – 3.5
290,11 – 15 giờ,7 – 8 môn,Không,5 – 6 giờ,Không,3 – 4 giờ,Kết hợp cả hai,50% – 70%,2.5 – 3.0
291,Dưới 5 giờ,5 – 6 môn,"Có, dưới 10 giờ/tuần",5 – 6 giờ,Không,3 – 4 giờ,Tự học cá nhân,50% – 70%,3.0 – 3.5
292,16 – 20 giờ,Trên 8 môn,Không,5 – 6 giờ,Không,3 – 4 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
293,5 – 10 giờ,Trên 8 môn,"Có, dưới 10 giờ/tuần",6 – 7 giờ,Không,3 – 4 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
294,11 – 15 giờ,3 – 4 môn,Không,6 – 7 giờ,Có,1 – 2 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
295,Trên 20 giờ,Trên 8 môn,"Có, trên 20 giờ/tuần",Dưới 5 giờ,Có,Dưới 1 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
296,5 – 10 giờ,5 – 6 môn,Không,Dưới 5 giờ,Không,3 – 4 giờ,Tự học cá nhân,Trên 95%,3.0 – 3.5
297,Dưới 5 giờ,5 – 6 môn,Không,7 – 8 giờ,Không,5 – 6 giờ,Tự học cá nhân,85% – 95%,Trên 3.5
298,11 – 15 giờ,7 – 8 môn,Không,6 – 7 giờ,Không,3 – 4 giờ,Kết hợp cả hai,70% – 85%,2.5 – 3.0
299,5 – 10 giờ,7 – 8 môn,Không,6 – 7 giờ,Có,1 – 2 giờ,Kết hợp cả hai,70% – 85%,2.5 – 3.0
300,Trên 20 giờ,3 – 4 môn,"Có, 10 – 20 giờ/tuần",7 – 8 giờ,Không,3 – 4 giờ,Tự học cá nhân,50% – 70%,Trên 3.5
