STT,self_study_time,amount_of_subject,working_time,sleeping_time,extracurricular_time,social_media_time,learning_method,attendance_proportion,gpa
21,16 – 20 giờ,Trên 8 môn,"Có, dưới 10 giờ/tuần",7 – 8 giờ,Không,3  – 4 giờ,Tự học cá nhân,Trên 95%,3.0 – 3.5
22,5 – 10 giờ,Trên 8 môn,"Có, 10 – 20 giờ/tuần",7 – 8 giờ,Không,5 – 6 giờ,Tự học cá nhân,Trên 95%,3.0 – 3.5
23,Dưới 5 giờ,3 – 4 môn,"Có, dưới 10 giờ/tuần",Dưới 5 giờ,Không,1 – 2 giờ,Học nhóm,Dưới 50%,2.0 – 2.5
24,5 – 10 giờ,Trên 8 môn,Không,5 – 6 giờ,Không,1 – 2 giờ,Kết hợp cả hai,Trên 95%,Trên 3.5
25,16 – 20 giờ,5  – 6 môn,"Có, dưới 10 giờ/tuần",6 – 7 giờ,Có,Dưới 1 giờ,Tự học cá nhân,85% – 95%,3.0 – 3.5
26,11 – 15 giờ,7 – 8 môn,Không,5 – 6 giờ,Không,3  – 4 giờ,Kết hợp cả hai,50% – 70%,2.5 – 3.0
27,Dưới 5 giờ,Trên 8 môn,Không,6 – 7 giờ,Không,Trên 6 giờ,Tự học cá nhân,50% – 70%,2.5 – 3.0
28,11 – 15 giờ,7 – 8 môn,Không,5 – 6 giờ,Có,1 – 2 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
29,Trên 20 giờ,Trên 8 môn,Không,6 – 7 giờ,Không,5 – 6 giờ,Tự học cá nhân,50% – 70%,2.5 – 3.0
30,11 – 15 giờ,3 – 4 môn,Không,7 – 8 giờ,Không,3  – 4 giờ,Tự học cá nhân,85% – 95%,3.0 – 3.5
31,5 – 10 giờ,7 – 8 môn,Không,7 – 8 giờ,Không,Trên 6 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
32,5 – 10 giờ,7 – 8 môn,Không,5 – 6 giờ,Có,5 – 6 giờ,Kết hợp cả hai,85% – 95%,Trên 3.5
33,5 – 10 giờ,5  – 6 môn,"Có, dưới 10 giờ/tuần",6 – 7 giờ,Không,3  – 4 giờ,Tự học cá nhân,50% – 70%,2.0 – 2.5
34,16 – 20 giờ,5  – 6 môn,Không,Dưới 5 giờ,Có,3  – 4 giờ,Kết hợp cả hai,85% – 95%,2.5 – 3.0
35,11 – 15 giờ,5  – 6 môn,Không,Trên 8 giờ,Có,3  – 4 giờ,Tự học cá nhân,70% – 85%,Trên 3.5
36,5 – 10 giờ,Trên 8 môn,Không,7 – 8 giờ,Không,1 – 2 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
37,5 – 10 giờ,Trên 8 môn,Không,6 – 7 giờ,Có,3  – 4 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
38,16 – 20 giờ,Trên 8 môn,Không,6 – 7 giờ,Có,3  – 4 giờ,Tự học cá nhân,70% – 85%,Trên 3.5
39,Trên 20 giờ,5  – 6 môn,Không,7 – 8 giờ,Không,1 – 2 giờ,Kết hợp cả hai,70% – 85%,3.0 – 3.5
40,11 – 15 giờ,7 – 8 môn,"Có, trên 20 giờ/tuần",6 – 7 giờ,Không,3  – 4 giờ,Tự học cá nhân,70% – 85%,Trên 3.5
41,5 – 10 giờ,5  – 6 môn,"Có, dưới 10 giờ/tuần",6 – 7 giờ,Có,1 – 2 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
42,5 – 10 giờ,7 – 8 môn,Không,6 – 7 giờ,Không,3  – 4 giờ,Kết hợp cả hai,50% – 70%,Trên 3.5
43,Dưới 5 giờ,Trên 8 môn,"Có, dưới 10 giờ/tuần",7 – 8 giờ,Không,Trên 6 giờ,Tự học cá nhân,Trên 95%,3.0 – 3.5
44,11 – 15 giờ,Trên 8 môn,Không,7 – 8 giờ,Không,3  – 4 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
45,11 – 15 giờ,Trên 8 môn,Không,Dưới 5 giờ,Không,3  – 4 giờ,Tự học cá nhân,Trên 95%,3.0 – 3.5
46,Dưới 5 giờ,Trên 8 môn,Không,Trên 8 giờ,Không,5 – 6 giờ,Tự học cá nhân,Trên 95%,3.0 – 3.5
47,11 – 15 giờ,3 – 4 môn,Không,6 – 7 giờ,Có,1 – 2 giờ,Tự học cá nhân,Trên 95%,3.0 – 3.5
48,Dưới 5 giờ,Trên 8 môn,"Có, dưới 10 giờ/tuần",5 – 6 giờ,Không,5 – 6 giờ,Kết hợp cả hai,85% – 95%,2.5 – 3.0
49,11 – 15 giờ,3 – 4 môn,Không,6 – 7 giờ,Có,1 – 2 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
50,16 – 20 giờ,Trên 8 môn,Không,5 – 6 giờ,Không,3  – 4 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
51,Dưới 5 giờ,5  – 6 môn,Không,6 – 7 giờ,Không,5 – 6 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
52,5 – 10 giờ,3 – 4 môn,"Có, trên 20 giờ/tuần",5 – 6 giờ,Không,3  – 4 giờ,Tự học cá nhân,70% – 85%,2.5 – 3.0
